game_id,away,home,date,ref_1,ref_2,ref_3,score_away,score_home,original_pdf,box_score_url,incorrect
20150316ATLSAC,ATL,SAC,20150316,Marc Davis,Eli Roe,Scott Wall,110,103,L2M-ATL-SAC-3-16-15.pdf,http://www.basketball-reference.com/boxscores/201503160SAC.html,1
20150316LALGSW,LAL,GSW,20150316,Derrick Stafford,Josh Tiven,James Williams,105,108,L2M-LAL@GSW-3-16-15..pdf,http://www.basketball-reference.com/boxscores/201503160GSW.html,2
20150316OKCDAL,OKC,DAL,20150316,James Capers,Eric Lewis,Kevin Scott,115,119,L2M-OKC-DAL-3-16-15.pdf,http://www.basketball-reference.com/boxscores/201503160DAL.html,
20150317MILNOP,MIL,NOP,20150317,Eric Lewis,Scott Twardoski,Tom Washington,84,85,L2M-MIL@NOP-3-17-15.pdf,http://www.basketball-reference.com/boxscores/201503170NOP.html,2
20150317SASNYK,SAS,NYK,20150317,Derrick Collins,Lauren Holtkamp,Bennett Salvatore,100,104,L2M-SAS@NYK-3-17-15.pdf,http://www.basketball-reference.com/boxscores/201503170NYK.html,7
20150318MINTOR,MIN,TOR,20150318,Tony Brown,Bill Kennedy,Karl Lane,100,105,L2M-MIN-TOR-3-18-15.pdf,http://www.basketball-reference.com/boxscores/201503180TOR.html,
20150318ORLDAL,ORL,DAL,20150318,Mark Ayotte,Tony Brothers,Scott Twardoski,102,107,L2M-ORL@DAL-3-18-15.pdf,http://www.basketball-reference.com/boxscores/201503180DAL.html,2
20150318PORMIA,POR,MIA,20150318,Kane Fitzgerald,Ed Malloy,Justin Van Duyne,104,108,L2M-POR-MIA-3-18-15.pdf,http://www.basketball-reference.com/boxscores/201503180MIA.html,
20150319MINNYK,MIN,NYK,20150319,Kevin Cutler,David Jones,Eric Lewis,95,92,L2M-MIN@NYK-3-19-15.pdf,http://www.basketball-reference.com/boxscores/201503190NYK.html,6
20150319NOPPHO,NOP,PHO,20150319,Mark Lindsay,Jason Phillips,Haywoode Workman,72,74,L2M-NOP@PHX-3-19-15.pdf,http://www.basketball-reference.com/boxscores/201503190PHO.html,3
20150319UTALAL,UTA,LAL,20150319,Eric Dalen,Pat Fraher,Zach Zarba,80,73,L2M-UTA-LAL-3-19-15.pdf,http://www.basketball-reference.com/boxscores/201503190LAL.html,
20150320INDCLE,IND,CLE,20150320,Marc Davis,J.T. Orr,Gary Zielinski,92,95,L2M-IND-CLE-3-20-15.pdf,http://www.basketball-reference.com/boxscores/201503200CLE.html,1
20150320MILBKN,MIL,BKN,20150320,James Capers,Lauren Holtkamp,Michael Smith,127,129,L2M-MIL-BKN-3-20-15.pdf,http://www.basketball-reference.com/boxscores/201503200BRK.html,5
20150322DALPHO,DAL,PHO,20150322,Tre Maddox,Derrick Stafford,Josh Tiven,92,98,L2M-DAL-PHX-3-22-15.pdf,http://www.basketball-reference.com/boxscores/201503220PHO.html,8
20150322DETBOS,DET,BOS,20150322,Tony Brown,Bennett Salvatore,Scott Twardoski,105,97,L2M-BOS-DET-3-22-15.pdf,http://www.basketball-reference.com/boxscores/201503220BOS.html,5
20150323MINUTA,MIN,UTA,20150323,Tre Maddox,Ed Malloy,Derek Richardson,106,104,L2M-MIN-UTA-3-23-15.pdf,http://www.basketball-reference.com/boxscores/201503230UTA.html,3
20150324MIAMIL,MIA,MIL,20150324,Courtney Kirkland,Jason Phillips,Justin Van Duyne,88,89,L2M-MIA-MIL-3-24-151.pdf,http://www.basketball-reference.com/boxscores/201503240MIL.html,1
20150324PHISAC,PHI,SAC,20150324,John Goble,J.T. Orr,Leon Wood,106,107,L2M-PHI-SAC-3-24-15.pdf,http://www.basketball-reference.com/boxscores/201503240SAC.html,2
20150324TORDET,TOR,DET,20150324,Curtis Blair,Kane Fitzgerald,Bill Spooner,104,108,L2M-TOR-DET-3-24-15.pdf,http://www.basketball-reference.com/boxscores/201503240DET.html,1
20150325BKNCHA,BKN,CHA,20150325,Nick Buchert,Jason Phillips,Derek Richardson,91,88,L2M-BKN-CHA-3-25-15.pdf,http://www.basketball-reference.com/boxscores/201503250CHO.html,1
20150325INDWAS,IND,WAS,20150325,Derrick Collins,Scott Foster,Lauren Holtkamp,103,101,L2M-IND-WAS-3-25-15.pdf,http://www.basketball-reference.com/boxscores/201503250WAS.html,1
20150325LALMIN,LAL,MIN,20150325,Matt Boland,Tony Brown,Bennett Salvatore,101,99,L2M-LAL-MIN-3-25-15.pdf,http://www.basketball-reference.com/boxscores/201503250MIN.html,6
20150325PHIDEN,PHI,DEN,20150325,Kevin Cutler,Eric Lewis,Ed Malloy,99,85,L2M-PHI-DEN-3-25-15.pdf,http://www.basketball-reference.com/boxscores/201503250DEN.html,2
20150325PORUTA,POR,UTA,20150325,Brent Barnaky,John Goble,Leroy Richardson,92,89,L2M-POR-UTA-3-25-15.pdf,http://www.basketball-reference.com/boxscores/201503250UTA.html,2
20150326INDMIL,IND,MIL,20150326,Marat Kogut,Bill Spooner,Scott Wall,107,111,L2M-IND-MIL-3-26-15.pdf,http://www.basketball-reference.com/boxscores/201503260MIL.html,1
20150327BOSNYK,BOS,NYK,20150327,Tre Maddox,Leroy Richardson,Sean Wright,96,92,Celtics-96-Knicks-92.pdf,http://www.basketball-reference.com/boxscores/201503270NYK.html,
20150327CHAWAS,CHA,WAS,20150327,Tony Brothers,Kane Fitzgerald,Ben Taylor,107,110,Wozards-110-Hornets-107-OT.pdf,http://www.basketball-reference.com/boxscores/201503270WAS.html,5
20150327PORPHO,POR,PHO,20150327,Bill Kennedy,Eric Lewis,Scott Twardoski,87,81,Trail-Blazers-87-Suns-81.pdf,http://www.basketball-reference.com/boxscores/201503270PHO.html,1
20150329DALIND,DAL,IND,20150329,Bennie Adams,Matt Boland,Tom Washington,99,104,L2M-DAL@IND-3-29-15.pdf,http://www.basketball-reference.com/boxscores/201503290IND.html,3
20150329LALBKN,LAL,BKN,20150329,Brent Barnaky,Tre Maddox,Ed Malloy,99,107,L2M-LAL@BKN-3-29-15.pdf,http://www.basketball-reference.com/boxscores/201503290BRK.html,2
20150329PHICLE,PHI,CLE,20150329,Tony Brothers,Eric Dalen,Mark Lindsay,86,87,L2M-PHI@CLE-3-29-15.pdf,http://www.basketball-reference.com/boxscores/201503290CLE.html,1
20150330HOUTOR,HOU,TOR,20150330,Matt Boland,Dan Crawford,Pat Fraher,96,99,L2M-HOU-TOR-3-30-15.pdf,http://www.basketball-reference.com/boxscores/201503300TOR.html,1
20150330LALPHI,LAL,PHI,20150330,Marc Davis,Leroy Richardson,Scott Twardoski,113,111,L2M-LAL-PHI-3-30-15.pdf,http://www.basketball-reference.com/boxscores/201503300PHI.html,2
20150331GSWLAC,GSW,LAC,20150331,Scott Foster,David Guthrie,Karl Lane,110,106,L2M-GSW-LAC-3-31-15.pdf,http://www.basketball-reference.com/boxscores/201503310LAC.html,
20150331INDBKN,IND,BKN,20150331,Mark Lindsay,Leon Wood,Zach Zarba,106,111,L2M-IND-BKN-3-31-15.pdf,http://www.basketball-reference.com/boxscores/201503310BRK.html,2
20150401BKNNYK,BKN,NYK,20150401,Violet Palmer,Bennett Salvatore,Kevin Scott,100,98,L2M-BKN-NYK-4-1-15.pdf,http://www.basketball-reference.com/boxscores/201504010NYK.html,
20150401CHIMIL,CHI,MIL,20150401,Mark Ayotte,Bill Kennedy,Scott Twardoski,91,95,L2M-CHI-MIL-4-1-15.pdf,http://www.basketball-reference.com/boxscores/201504010MIL.html,2
20150401DALOKC,DAL,OKC,20150401,Joe Crawford,Leroy Richardson,Josh Tiven,135,131,L2M-DAL-OKC-4-1-15.pdf,http://www.basketball-reference.com/boxscores/201504010OKC.html,2
20150401SACHOU,SAC,HOU,20150401,Nick Buchert,Mike Callahan,Gary Zielinski,111,115,L2M-SAC-HOU-4-1-15.pdf,http://www.basketball-reference.com/boxscores/201504010HOU.html,2
20150402HOUDAL,HOU,DAL,20150402,Monty McCutchen,Derek Richardson,Michael Smith,108,101,L2M-HOU-DAL-4-2-15.pdf,http://www.basketball-reference.com/boxscores/201504020DAL.html,
20150402PHOGSW,PHO,GSW,20150402,Marc Davis,Kane Fitzgerald,James Williams,106,107,L2M-PHX-GSW-4-2-15.pdf,http://www.basketball-reference.com/boxscores/201504020GSW.html,2
20150403DETCHI,DET,CHI,20150403,Steve Anderson,Joe Crawford,Eric Lewis,82,88,L2M-DET-CHI-4-3-15.pdf,http://www.basketball-reference.com/boxscores/201504030CHI.html,
20150403NOPSAC,NOP,SAC,20150403,Tony Brothers,Justin Van Duyne,Sean Wright,101,95,L2M-NOP-SAC-4-3-151.pdf,http://www.basketball-reference.com/boxscores/201504030SAC.html,2
20150403OKCMEM,OKC,MEM,20150403,Pat Fraher,Monty McCutchen,Kevin Scott,92,100,L2M-OKC-MEM-4-3-15.pdf,http://www.basketball-reference.com/boxscores/201504030MEM.html,2
20150403TORBKN,TOR,BKN,20150403,Scott Foster,David Guthrie,Eli Roe,109,114,L2M-TOR-BKN-4-3-15.pdf,http://www.basketball-reference.com/boxscores/201504030BRK.html,
20150404BOSTOR,BOS,TOR,20150404,Brent Barnaky,Scott Wall,Tom Washington,117,116,L2M-BOS-TOR-4-4-15.pdf,http://www.basketball-reference.com/boxscores/201504040TOR.html,3
20150404ORLMIL,ORL,MIL,20150404,John Goble,Leroy Richardson,Haywoode Workman,97,90,L2M-ORL-MIL-4-4-15.pdf,http://www.basketball-reference.com/boxscores/201504040MIL.html,1
20150404PHICHA,PHI,CHA,20150404,Bennie Adams,Ron Garretson,Marat Kogut,91,92,L2M-PHI-CHA-4-4-15.pdf,http://www.basketball-reference.com/boxscores/201504040CHO.html,1
20150404UTAPHO,UTA,PHO,20150404,Mark Ayotte,Tony Brothers,J.T. Orr,85,87,L2M-UTA-PHX-4-4-15.pdf,http://www.basketball-reference.com/boxscores/201504040PHO.html,2
20150405CHICLE,CHI,CLE,20150405,Dan Crawford,David Jones,Eli Roe,94,99,L2M-CHI-CLE-4-5-15.pdf,http://www.basketball-reference.com/boxscores/201504050CLE.html,2
20150405HOUOKC,HOU,OKC,20150405,Derrick Collins,Eric Lewis,Ken Mauer,115,112,L2M-HOU-OKC-4-5-15.pdf,http://www.basketball-reference.com/boxscores/201504050OKC.html,3
20150405PHINYK,PHI,NYK,20150405,Joe Crawford,Mark Lindsay,Haywoode Workman,91,101,L2M-PHI-NYK-4-5-15.pdf,http://www.basketball-reference.com/boxscores/201504050NYK.html,
20150407GSWNOP,GSW,NOP,20150407,Karl Lane,Derrick Stafford,Josh Tiven,100,103,L2M-GSW-NOP-4-7-15.pdf,http://www.basketball-reference.com/boxscores/201504070NOP.html,3
20150408ATLBKN,ATL,BKN,20150408,Steve Anderson,James Capers,Derrick Collins,114,111,L2M-ATL-BKN-4-8-15.pdf,http://www.basketball-reference.com/boxscores/201504080BRK.html,
20150408CHIORL,CHI,ORL,20150408,Marat Kogut,Ed Malloy,Scott Wall,103,105,L2M-CHI-ORL-4-8-15.pdf,http://www.basketball-reference.com/boxscores/201504080ORL.html,1
20150408CLEMIL,CLE,MIL,20150408,Curtis Blair,Sean Corbin,Zach Zarba,104,99,L2M-CLE-MIL-4-8-15.pdf,http://www.basketball-reference.com/boxscores/201504080MIL.html,
20150408PHODAL,PHO,DAL,20150408,Scott Foster,Karl Lane,Sean Wright,104,107,L2M-PHO-DAL-4-8-15.pdf,http://www.basketball-reference.com/boxscores/201504080DAL.html,1
20150409PORGSW,POR,GSW,20150409,Tony Brown,David Jones,Jason Phillips,105,116,L2M-POR-GSW-4-9-15.pdf,http://www.basketball-reference.com/boxscores/201504090GSW.html,
20150410DALDEN,DAL,DEN,20150410,Brian Forte,Dedric Taylor,Tom Washington,144,143,L2M-DAL-DEN-4-10-15.pdf,http://www.basketball-reference.com/boxscores/201504100DEN.html,3
20150410INDDET,IND,DET,20150410,Brent Barnaky,Monty McCutchen,Eli Roe,107,103,L2M-IND-DET-4-10-15.pdf,http://www.basketball-reference.com/boxscores/201504100DET.html,
20150410MEMUTA,MEM,UTA,20150410,Nick Buchert,Bennett Salvatore,Kevin Scott,89,88,L2M-MEM-UTA-4-10-15.pdf,http://www.basketball-reference.com/boxscores/201504100UTA.html,1
20150410SASHOU,SAS,HOU,20150410,Scott Foster,Karl Lane,Leroy Richardson,104,103,L2M-SAS-HOU-4-10-15.pdf,http://www.basketball-reference.com/boxscores/201504100HOU.html,1
20150410TORORL,TOR,ORL,20150410,Marc Davis,James Williams,Leon Wood,101,99,L2M-TOR-ORL-4-10-15.pdf,http://www.basketball-reference.com/boxscores/201504100ORL.html,1
20150411NYKORL,NYK,ORL,20150411,Sean Corbin,Kane Fitzgerald,Violet Palmer,80,79,L2M-NYK-ORL-4-11-15.pdf,http://www.basketball-reference.com/boxscores/201504110ORL.html,3
20150411PHICHI,PHI,CHI,20150411,Brent Barnaky,Monty McCutchen,Derek Richardson,107,114,L2M-PHI-CHI-4-11-15.pdf,http://www.basketball-reference.com/boxscores/201504110CHI.html,1
20150411TORMIA,TOR,MIA,20150411,Steve Anderson,James Capers,David Guthrie,107,104,L2M-TOR-MIA-4-11-15.pdf,http://www.basketball-reference.com/boxscores/201504110MIA.html,1
20150411UTAPOR,UTA,POR,20150411,Dan Crawford,Dedric Taylor,Scott Wall,111,105,L2M-UTA-POR-4-11-15.pdf,http://www.basketball-reference.com/boxscores/201504110POR.html,1
20150412OKCIND,OKC,IND,20150412,Courtney Kirkland,Marat Kogut,Ed Malloy,104,116,L2M-OKC-IND-4-12-15.pdf,http://www.basketball-reference.com/boxscores/201504120IND.html,2
20150413DENLAC,DEN,LAC,20150413,Bennie Adams,Kevin Scott,Ben Taylor,103,110,L2M-DEN-LAC-4-13-15.pdf,http://www.basketball-reference.com/boxscores/201504130LAC.html,3
20150413NYKATL,NYK,ATL,20150413,David Guthrie,Bill Kennedy,Scott Twardoski,112,108,L2M-NYK-ATL-4-13-15.pdf,http://www.basketball-reference.com/boxscores/201504130ATL.html,
20150414TORBOS,TOR,BOS,20150414,Leroy Richardson,Eli Roe,Derrick Stafford,93,95,L2M-TOR-BOS-4-14-15.pdf,http://www.basketball-reference.com/boxscores/201504140BOS.html,
20150414WASIND,WAS,IND,20150414,Eric Lewis,Tom Washington,Haywoode Workman,95,99,L2M-WAS-IND-4-14-15.pdf,http://www.basketball-reference.com/boxscores/201504140IND.html,6
20150415ATLCHI,ATL,CHI,20150415,Dan Crawford,Courtney Kirkland,Josh Tiven,85,91,L2M-ATL-CHI-4-15-15.pdf,http://www.basketball-reference.com/boxscores/201504150CHI.html,
20150415DENGSW,DEN,GSW,20150415,Bill Kennedy,Scott Wall,Leon Wood,126,133,L2M-DEN-GSW-4-15-15.pdf,http://www.basketball-reference.com/boxscores/201504150GSW.html,1
20150415MIAPHI,MIA,PHI,20150415,Tony Brothers,Brian Forte,Violet Palmer,105,101,L2M-MIA-PHI-4-15-15.pdf,http://www.basketball-reference.com/boxscores/201504150PHI.html,1
20150415WASCLE,WAS,CLE,20150415,Kane Fitzgerald,Scott Foster,Scott Twardoski,108,113,L2M-WAS-CLE-4-15-15.pdf,http://www.basketball-reference.com/boxscores/201504150CLE.html,4
20150418WASTOR,WAS,TOR,20150418,Monty McCutchen,Derrick Stafford,Josh Tiven,93,86,L2M-WAS-TOR-4-18-15.pdf,http://www.basketball-reference.com/boxscores/201504180TOR.html,6
20150422BKNATL,BKN,ATL,20150422,Mike Callahan,Michael Smith,Zach Zarba,91,96,L2M-BKN-ATL-4-22-15.pdf,http://www.basketball-reference.com/boxscores/201504220ATL.html,2
20150422SASLAC,SAS,LAC,20150422,Joe Crawford,Ron Garretson,Sean Wright,111,107,L2M-SAS-LAC-4-22-15.pdf,http://www.basketball-reference.com/boxscores/201504220LAC.html,1
20150423CHIMIL,CHI,MIL,20150423,Brian Forte,Ed Malloy,Ken Mauer,113,106,L2M-CHI-MIL-4-23-15.pdf,http://www.basketball-reference.com/boxscores/201504230MIL.html,5
20150423GSWNOP,GSW,NOP,20150423,Kane Fitzgerald,Scott Foster,Derrick Stafford,123,119,GSW-NOP-4-23-15v3.pdf,http://www.basketball-reference.com/boxscores/201504230NOP.html,5
20150424HOUDAL,HOU,DAL,20150424,Mike Callahan,Michael Smith,Tom Washington,130,128,L2M-HOU-DAL-4-24-15-GAME-3.pdf,http://www.basketball-reference.com/boxscores/201504240DAL.html,
20150424TORWAS,TOR,WAS,20150424,Tony Brothers,Sean Corbin,John Goble,99,106,L2M-TOR-WAS-4-24-15-GAME-3.pdf,http://www.basketball-reference.com/boxscores/201504240WAS.html,1
20150425CHIMIL,CHI,MIL,20150425,David Guthrie,Jason Phillips,Zach Zarba,90,92,L2M-CHI-MIL-4-25-15.pdf,http://www.basketball-reference.com/boxscores/201504250MIL.html,1
20150425MEMPOR,MEM,POR,20150425,Mark Ayotte,Scott Foster,Bill Kennedy,115,109,L2M-MEM-POR-4-25-15.pdf,http://www.basketball-reference.com/boxscores/201504250POR.html,2
20150427ATLBKN,ATL,BKN,20150427,James Capers,Eric Lewis,Jason Phillips,115,120,L2M-ATL-BKN-4-27-15.pdf,http://www.basketball-reference.com/boxscores/201504270BRK.html,4
20150427MEMPOR,MEM,POR,20150427,Derrick Collins,Dan Crawford,Marc Davis,92,99,L2M-MEM-POR-4-27-15.pdf,http://www.basketball-reference.com/boxscores/201504270POR.html,3
20150428SASLAC,SAS,LAC,20150428,Scott Foster,Bill Kennedy,Josh Tiven,111,107,L2M-SAS-LAC-4-28-2015.pdf,http://www.basketball-reference.com/boxscores/201504280LAC.html,3
20150429BKNATL,BKN,ATL,20150429,David Jones,Monty McCutchen,James Williams,97,107,L2M-BKN-ATL-4-29-15-GAME-5.pdf,http://www.basketball-reference.com/boxscores/201504290ATL.html,1
20150502SASLAC,SAS,LAC,20150502,James Capers,Monty McCutchen,Jason Phillips,109,111,L2M-SAS-LAC-5-2-15-GAME-7.pdf,http://www.basketball-reference.com/boxscores/201505020LAC.html,
20150503WASATL,WAS,ATL,20150503,Scott Foster,Pat Fraher,Ron Garretson,104,98,L2M-WAS-ATL-5-3-15-GAME-1.pdf,http://www.basketball-reference.com/boxscores/201505030ATL.html,1
20150508CLECHI,CLE,CHI,20150508,Tony Brothers,Mike Callahan,Eric Lewis,96,99,L2M-CLE-CHI-5-8-15-GAME-3.pdf,http://www.basketball-reference.com/boxscores/201505080CHI.html,3
20150509ATLWAS,ATL,WAS,20150509,Joe Crawford,Bennett Salvatore,Zach Zarba,101,103,L2M-ATL-WAS-5-9-15-GAME-3.pdf,http://www.basketball-reference.com/boxscores/201505090WAS.html,1
20150510CLECHI,CLE,CHI,20150510,Scott Foster,Jason Phillips,Tom Washington,86,84,L2M-CLE-CHI-5-10-15-GAME-4.pdf,http://www.basketball-reference.com/boxscores/201505100CHI.html,1
20150511ATLWAS,ATL,WAS,20150511,John Goble,Ed Malloy,Ken Mauer,106,101,L2M-ATL-WAS-5-11-15-GAME-4.pdf,http://www.basketball-reference.com/boxscores/201505110WAS.html,1
20150512CHICLE,CHI,CLE,20150512,Joe Crawford,Josh Tiven,Zach Zarba,101,106,L2M-CHI-CLE-5-12-15-GAME-5.pdf,http://www.basketball-reference.com/boxscores/201505120CLE.html,2
20150513WASATL,WAS,ATL,20150513,Tony Brothers,Mike Callahan,Tom Washington,81,82,L2M-WAS-ATL-5-13-15-GAME-5.pdf,http://www.basketball-reference.com/boxscores/201505130ATL.html,2
20150515ATLWAS,ATL,WAS,20150515,James Capers,Monty McCutchen,Derrick Stafford,94,91,L2M-ATL-WAS-5-15-2015-GAME-6.pdf,http://www.basketball-reference.com/boxscores/201505150WAS.html,
20150524ATLCLE,ATL,CLE,20150524,Tony Brothers,John Goble,Ed Malloy,111,114,L2M-ATL-CLE-5-24-15-GAME-3.pdf,http://www.basketball-reference.com/boxscores/201505240CLE.html,
20150604CLEGSW,CLE,GSW,20150604,James Capers,Monty McCutchen,Jason Phillips,100,108,L2M-CLE-GSW-6-4-15-GAME-1.pdf,http://www.basketball-reference.com/boxscores/201506040GSW.html,
20150607CLEGSW,CLE,GSW,20150607,Tony Brothers,Scott Foster,Zach Zarba,95,93,L2M-CLE-GSW-6-7-15-FINALS-GAME-2.pdf,http://www.basketball-reference.com/boxscores/201506070GSW.html,4
